"GEOID","NAME","households","total_pop","white","black","asian","american_indian_alaska_native","hawaian_pacific_island","hispanic"
"060610213241","Block Group 1, Census Tract 213.24, Placer County, California",484,1448,1047,11,205,4,2,138
"060610213242","Block Group 2, Census Tract 213.24, Placer County, California",828,2722,1702,23,632,13,10,276
"060610213252","Block Group 2, Census Tract 213.25, Placer County, California",759,2791,1426,47,906,10,7,343
"060610213251","Block Group 1, Census Tract 213.25, Placer County, California",1164,2714,1806,94,434,19,6,300
"060610213253","Block Group 3, Census Tract 213.25, Placer County, California",1417,3774,2072,158,844,26,21,541
"060610213262","Block Group 2, Census Tract 213.26, Placer County, California",920,3235,1690,136,799,25,8,461
"060610213261","Block Group 1, Census Tract 213.26, Placer County, California",312,1159,434,54,444,24,8,169
"060610213271","Block Group 1, Census Tract 213.27, Placer County, California",543,1131,769,22,120,14,5,161
"060610213272","Block Group 2, Census Tract 213.27, Placer County, California",909,2303,1327,57,548,12,2,281
"060610213273","Block Group 3, Census Tract 213.27, Placer County, California",381,1165,671,24,312,5,6,167
"060610213274","Block Group 4, Census Tract 213.27, Placer County, California",341,1044,509,61,273,3,3,178
"060610213282","Block Group 2, Census Tract 213.28, Placer County, California",493,1848,928,46,527,10,9,256
"060610213281","Block Group 1, Census Tract 213.28, Placer County, California",242,621,508,5,6,4,4,83
"060610213283","Block Group 3, Census Tract 213.28, Placer County, California",784,2437,1475,69,536,4,13,295
"060610213284","Block Group 4, Census Tract 213.28, Placer County, California",1045,3234,1713,96,846,14,7,472
"060610213285","Block Group 5, Census Tract 213.28, Placer County, California",150,416,291,0,26,2,1,74
"060610214011","Block Group 1, Census Tract 214.01, Placer County, California",473,1295,838,5,18,14,3,436
"060610214012","Block Group 2, Census Tract 214.01, Placer County, California",590,1761,1221,32,42,28,3,518
"060610214035","Block Group 5, Census Tract 214.03, Placer County, California",450,1358,781,25,25,18,3,564
"060610214031","Block Group 1, Census Tract 214.03, Placer County, California",466,1283,562,7,43,36,1,758
"060610214032","Block Group 2, Census Tract 214.03, Placer County, California",341,1087,562,20,17,29,7,478
"060610214033","Block Group 3, Census Tract 214.03, Placer County, California",357,1062,569,14,25,27,7,445
"060610214034","Block Group 4, Census Tract 214.03, Placer County, California",827,2374,1129,32,55,50,9,1216
"060610215013","Block Group 3, Census Tract 215.01, Placer County, California",777,1541,1106,18,22,26,3,346
"060610215011","Block Group 1, Census Tract 215.01, Placer County, California",338,894,721,6,21,11,1,88
"060610215012","Block Group 2, Census Tract 215.01, Placer County, California",518,1287,1076,6,22,18,0,112
"060610215014","Block Group 4, Census Tract 215.01, Placer County, California",676,2189,1706,51,92,25,5,233
"060610215022","Block Group 2, Census Tract 215.02, Placer County, California",527,1116,918,2,27,15,0,135
"060610215021","Block Group 1, Census Tract 215.02, Placer County, California",1107,2690,2202,11,53,26,0,306
"060610216033","Block Group 3, Census Tract 216.03, Placer County, California",355,755,614,0,23,4,2,92
"060610216031","Block Group 1, Census Tract 216.03, Placer County, California",928,1980,1639,16,53,40,4,196
"060610216032","Block Group 2, Census Tract 216.03, Placer County, California",829,2192,944,19,54,45,4,1210
"060610216041","Block Group 1, Census Tract 216.04, Placer County, California",570,1456,1198,7,24,17,0,161
"060610216042","Block Group 2, Census Tract 216.04, Placer County, California",799,1965,1683,2,25,8,0,181
"060610218011","Block Group 1, Census Tract 218.01, Placer County, California",642,1557,1285,8,25,9,0,150
"060610218014","Block Group 4, Census Tract 218.01, Placer County, California",296,699,633,0,4,1,0,49
"060610218012","Block Group 2, Census Tract 218.01, Placer County, California",690,1678,1481,1,16,12,0,128
"060610218013","Block Group 3, Census Tract 218.01, Placer County, California",276,729,626,4,12,8,1,64
"060610218022","Block Group 2, Census Tract 218.02, Placer County, California",365,940,792,5,22,17,4,92
"060610218025","Block Group 5, Census Tract 218.02, Placer County, California",731,1546,1337,9,16,17,2,133
"060610218021","Block Group 1, Census Tract 218.02, Placer County, California",512,1335,984,20,20,34,6,212
"060610218023","Block Group 3, Census Tract 218.02, Placer County, California",451,1178,950,14,11,31,6,164
"060610218024","Block Group 4, Census Tract 218.02, Placer County, California",526,1053,859,13,16,15,1,161
"060610219011","Block Group 1, Census Tract 219.01, Placer County, California",532,1438,1154,40,46,16,9,157
"060610219012","Block Group 2, Census Tract 219.01, Placer County, California",829,1877,1621,4,9,12,0,197
"060610219021","Block Group 1, Census Tract 219.02, Placer County, California",837,1967,1746,1,5,7,1,168
"060610219022","Block Group 2, Census Tract 219.02, Placer County, California",782,1829,1579,4,25,11,1,147
"060610219023","Block Group 3, Census Tract 219.02, Placer County, California",275,666,561,0,10,9,1,79
"060610220021","Block Group 1, Census Tract 220.02, Placer County, California",536,1141,910,6,12,13,2,132
"060610220024","Block Group 4, Census Tract 220.02, Placer County, California",745,1817,1534,7,15,30,2,157
"060610220022","Block Group 2, Census Tract 220.02, Placer County, California",1054,2310,1988,7,31,20,3,188
"060610220023","Block Group 3, Census Tract 220.02, Placer County, California",549,1301,1055,3,12,29,5,137
"060610220111","Block Group 1, Census Tract 220.11, Placer County, California",3001,786,647,8,26,2,1,95
"060610220112","Block Group 2, Census Tract 220.11, Placer County, California",1233,1506,1261,0,23,5,3,166
"060610220131","Block Group 1, Census Tract 220.13, Placer County, California",517,881,777,4,4,22,2,45
"060610220132","Block Group 2, Census Tract 220.13, Placer County, California",486,1022,877,4,8,18,2,64
"060610220133","Block Group 3, Census Tract 220.13, Placer County, California",492,930,782,3,8,5,1,81
"060610220141","Block Group 1, Census Tract 220.14, Placer County, California",1531,509,440,4,10,0,0,34
"060610220142","Block Group 2, Census Tract 220.14, Placer County, California",873,608,576,0,1,0,1,14
"060610220143","Block Group 3, Census Tract 220.14, Placer County, California",1360,412,323,3,10,0,1,36
"060610221001","Block Group 1, Census Tract 221, Placer County, California",1070,702,614,1,8,1,1,37
"060610221002","Block Group 2, Census Tract 221, Placer County, California",387,199,178,0,1,0,0,11
"060610222002","Block Group 2, Census Tract 222, Placer County, California",719,698,626,0,11,0,0,52
"060610222001","Block Group 1, Census Tract 222, Placer County, California",664,204,164,0,3,4,0,31
"060610223001","Block Group 1, Census Tract 223, Placer County, California",421,183,158,0,3,1,0,11
"060610223002","Block Group 2, Census Tract 223, Placer County, California",1076,463,417,2,9,0,2,23
"060610224001","Block Group 1, Census Tract 224, Placer County, California",991,2553,1685,50,496,6,0,254
"060610224002","Block Group 2, Census Tract 224, Placer County, California",1003,2340,1687,36,294,16,2,292
"060610225001","Block Group 1, Census Tract 225, Placer County, California",791,2356,1347,96,437,31,3,366
"060610225002","Block Group 2, Census Tract 225, Placer County, California",793,2333,1380,70,554,35,6,191
"060610226001","Block Group 1, Census Tract 226, Placer County, California",780,2319,1664,59,277,7,19,243
"060610226002","Block Group 2, Census Tract 226, Placer County, California",1,15,7,1,0,0,1,2
"060610226003","Block Group 3, Census Tract 226, Placer County, California",1317,2648,1545,152,391,26,14,498
"060610228001","Block Group 1, Census Tract 228, Placer County, California",939,2470,1561,51,418,15,11,334
"060610228002","Block Group 2, Census Tract 228, Placer County, California",844,2516,1492,75,549,3,15,291
"060610229001","Block Group 1, Census Tract 229, Placer County, California",608,1689,1097,45,186,15,3,273
"060610229002","Block Group 2, Census Tract 229, Placer County, California",608,1515,940,21,294,5,11,191
"060610229003","Block Group 3, Census Tract 229, Placer County, California",778,2561,1533,75,503,11,7,356
"060610230001","Block Group 1, Census Tract 230, Placer County, California",443,1508,1014,37,206,7,5,201
"060610230002","Block Group 2, Census Tract 230, Placer County, California",684,2406,1623,73,292,12,8,369
"060610231001","Block Group 1, Census Tract 231, Placer County, California",601,2071,1402,50,249,4,7,296
"060610231003","Block Group 3, Census Tract 231, Placer County, California",1041,3235,1978,83,637,23,12,435
"060610231002","Block Group 2, Census Tract 231, Placer County, California",1432,3391,2144,152,600,13,10,363
"060610232001","Block Group 1, Census Tract 232, Placer County, California",863,3096,1994,82,416,19,20,522
"060610232002","Block Group 2, Census Tract 232, Placer County, California",919,2982,1852,93,387,26,13,478
"060610233001","Block Group 1, Census Tract 233, Placer County, California",779,2484,1546,99,266,26,16,467
"060610233002","Block Group 2, Census Tract 233, Placer County, California",1198,3849,2544,116,362,10,8,763
"060610234002","Block Group 2, Census Tract 234, Placer County, California",812,2411,1746,37,122,10,17,420
"060610234001","Block Group 1, Census Tract 234, Placer County, California",298,931,643,15,74,6,0,207
"060610234003","Block Group 3, Census Tract 234, Placer County, California",770,2379,1618,53,193,18,8,435
"060610235012","Block Group 2, Census Tract 235.01, Placer County, California",300,746,548,14,64,3,2,81
