"GEOID","NAME","H1_001N"
"06001451403","Census Tract 4514.03, Alameda County, California",783
"06001451404","Census Tract 4514.04, Alameda County, California",2275
"06001451501","Census Tract 4515.01, Alameda County, California",1932
"06001451503","Census Tract 4515.03, Alameda County, California",2418
"06001451504","Census Tract 4515.04, Alameda County, California",600
"06001451505","Census Tract 4515.05, Alameda County, California",1154
"06001451506","Census Tract 4515.06, Alameda County, California",1111
"06001451601","Census Tract 4516.01, Alameda County, California",1964
"06001451602","Census Tract 4516.02, Alameda County, California",2844
"06001451701","Census Tract 4517.01, Alameda County, California",1113
"06001451703","Census Tract 4517.03, Alameda County, California",1337
"06001451704","Census Tract 4517.04, Alameda County, California",1694
"06001981900","Census Tract 9819, Alameda County, California",25
"06001982000","Census Tract 9820, Alameda County, California",41
"06001982100","Census Tract 9821, Alameda County, California",95
"06001983200","Census Tract 9832, Alameda County, California",554
"06001990000","Census Tract 9900, Alameda County, California",0
"06003010000","Census Tract 100, Alpine County, California",1540
"06005000101","Census Tract 1.01, Amador County, California",2651
"06005000102","Census Tract 1.02, Amador County, California",1651
"06005000201","Census Tract 2.01, Amador County, California",1627
"06005000202","Census Tract 2.02, Amador County, California",986
"06005000301","Census Tract 3.01, Amador County, California",779
"06005000303","Census Tract 3.03, Amador County, California",2800
"06005000304","Census Tract 3.04, Amador County, California",1786
"06005000401","Census Tract 4.01, Amador County, California",2662
"06005000402","Census Tract 4.02, Amador County, California",2327
"06005000500","Census Tract 5, Amador County, California",1536
"06007000102","Census Tract 1.02, Butte County, California",1822
"06007000103","Census Tract 1.03, Butte County, California",2291
"06007000104","Census Tract 1.04, Butte County, California",2605
"06007000201","Census Tract 2.01, Butte County, California",2058
"06007000202","Census Tract 2.02, Butte County, California",2048
"06007000300","Census Tract 3, Butte County, California",2075
"06007000401","Census Tract 4.01, Butte County, California",2012
"06007000403","Census Tract 4.03, Butte County, California",1580
"06007000404","Census Tract 4.04, Butte County, California",1624
"06007000501","Census Tract 5.01, Butte County, California",1937
"06007000502","Census Tract 5.02, Butte County, California",2146
